,Date,FIIcall,FIIput,FIIFuture,FIIFutOI,FIICash,DIIcash
839,22 Mar 2022,-14.2,24.6,901.0,20057.0,384.0,-602.0
838,23 Mar 2022,-10.1,2.1,-1146.0,20402.0,481.0,-294.0
837,24 Mar 2022,7.9,2.4,-859.0,20583.0,-1741.0,2091.0
836,25 Mar 2022,-4.8,-1.4,-225.0,20371.0,-1507.0,1373.0
835,28 Mar 2022,27.7,-9.0,1353.0,19297.0,-801.0,1162.0
834,29 Mar 2022,29.0,11.7,680.0,20116.0,35.0,1713.0
833,30 Mar 2022,27.3,-9.9,1083.0,19597.0,1357.0,1216.0
832,31 Mar 2022,-168.0,-172.1,1114.0,12087.0,3089.0,1145.0
831,01 Apr 2022,3.7,-32.9,-278.0,13073.0,1910.0,-184.0
830,04 Apr 2022,27.2,5.8,1442.0,13575.0,1152.0,1675.0
829,05 Apr 2022,-1.9,51.9,-358.0,13807.0,375.0,105.0
828,06 Apr 2022,-19.1,-3.8,-126.0,13506.0,-2280.0,623.0
827,07 Apr 2022,-9.6,37.5,-1999.0,12793.0,-5010.0,1775.0
826,08 Apr 2022,6.8,27.5,163.0,12050.0,-575.0,-17.0
825,11 Apr 2022,-27.5,-5.2,-2166.0,11622.0,-1145.0,487.0
824,12 Apr 2022,-25.4,27.3,-1528.0,11934.0,-3128.0,870.0
823,13 Apr 2022,35.7,6.4,-2005.0,12793.0,-2061.0,1411.0
822,18 Apr 2022,4.5,18.9,-403.0,12441.0,-6387.0,3342.0
821,19 Apr 2022,16.4,3.3,1387.0,11726.0,-5872.0,3981.0
820,20 Apr 2022,9.9,-8.1,122.0,11294.0,-3009.0,2646.0
819,21 Apr 2022,27.0,11.6,60.0,12468.0,-714.0,2823.0
818,22 Apr 2022,-19.1,34.0,-941.0,12196.0,-2462.0,1602.0
817,25 Apr 2022,-23.5,-20.3,-1258.0,14906.0,-3303.0,1870.0
816,26 Apr 2022,43.1,61.3,232.0,15601.0,-1174.0,1644.0
815,27 Apr 2022,53.3,52.9,-3387.0,15520.0,-4065.0,1918.0
814,28 Apr 2022,-115.9,-192.8,704.0,9423.0,743.0,781.0
813,29 Apr 2022,57.4,62.8,441.0,9210.0,-3648.0,3490.0
812,02 May 2022,-58.4,-19.7,-790.0,9850.0,-1853.0,1951.0
811,04 May 2022,-18.6,31.3,-3233.0,12578.0,-3288.0,1338.0
810,05 May 2022,-1.9,-61.1,1054.0,11836.0,-2075.0,2229.0
809,06 May 2022,-0.7,59.9,-2490.0,13780.0,-5517.0,3015.0
808,09 May 2022,30.2,15.7,-687.0,15188.0,-3362.0,3077.0
807,10 May 2022,2.9,20.2,345.0,14361.0,-3961.0,2958.0
806,11 May 2022,39.2,1.5,-966.0,15356.0,-3609.0,4181.0
805,12 May 2022,-56.4,-4.5,-1361.0,15160.0,-5256.0,4816.0
804,13 May 2022,4.8,-20.1,2859.0,13653.0,-3780.0,3170.0
803,16 May 2022,-7.6,-10.1,980.0,14508.0,-1789.0,1428.0
802,17 May 2022,52.2,-32.4,1064.0,13604.0,-2192.0,2294.0
801,18 May 2022,-21.9,32.2,62.0,13651.0,-1255.0,376.0
800,19 May 2022,1.9,13.8,-921.0,14723.0,-4900.0,3226.0
799,20 May 2022,82.2,-20.2,3012.0,14958.0,-1265.0,2149.0
798,23 May 2022,3.0,21.5,-42.0,14357.0,-1951.0,1445.0
797,24 May 2022,23.9,-29.9,-644.0,15048.0,-2393.0,1948.0
796,25 May 2022,-44.2,18.6,1158.0,16660.0,-1803.0,2230.0
795,26 May 2022,-90.0,-146.2,-626.0,12395.0,-1598.0,2906.0
794,27 May 2022,41.5,24.4,873.0,12412.0,-1943.0,2727.0
793,30 May 2022,0.5,4.1,1806.0,12905.0,502.0,1524.0
792,31 May 2022,-16.5,14.1,-1174.0,12733.0,-1004.0,1845.0
791,01 Jun 2022,-25.4,19.2,-1276.0,12765.0,-1930.0,984.0
790,02 Jun 2022,-6.9,-29.9,-1350.0,11750.0,-452.0,131.0
789,03 Jun 2022,3.3,40.8,187.0,10633.0,-3771.0,2361.0
788,06 Jun 2022,-12.0,-18.4,-418.0,11941.0,-2398.0,1940.0
787,07 Jun 2022,-18.3,10.8,-2407.0,12423.0,-2294.0,1311.0
786,08 Jun 2022,-31.6,-27.1,-735.0,12525.0,-2484.0,1904.0
785,09 Jun 2022,53.4,-5.7,-872.0,13018.0,-1513.0,1625.0
784,10 Jun 2022,-12.7,82.0,-1729.0,14069.0,-3974.0,2831.0
783,13 Jun 2022,19.4,-26.6,-1799.0,12980.0,-4164.0,2815.0
782,14 Jun 2022,-15.0,36.1,-342.0,13031.0,-4502.0,3808.0
781,15 Jun 2022,21.0,8.8,12.0,13153.0,-3531.0,2588.0
780,16 Jun 2022,18.1,-7.6,-1529.0,14913.0,-3258.0,1929.0
779,17 Jun 2022,29.3,-2.7,412.0,15109.0,-7819.0,6087.0
778,20 Jun 2022,-35.0,-32.9,-18.0,15613.0,-1217.0,2093.0
777,21 Jun 2022,22.7,4.0,2148.0,16074.0,-2701.0,3066.0
776,22 Jun 2022,33.0,28.5,-761.0,16613.0,-2921.0,1859.0
775,23 Jun 2022,-3.5,-10.4,853.0,17090.0,-2319.0,2438.0
774,24 Jun 2022,-10.3,-1.7,668.0,16956.0,-2354.0,2213.0
773,27 Jun 2022,-2.0,9.8,205.0,15519.0,-1278.0,1184.0
772,28 Jun 2022,15.4,16.0,84.0,16111.0,-1244.0,1206.0
771,29 Jun 2022,27.1,-6.9,-2413.0,15517.0,-851.0,847.0
770,30 Jun 2022,-89.2,-118.6,-1297.0,11908.0,-1138.0,1378.0
769,01 Jul 2022,-12.3,15.2,-543.0,13056.0,-2325.0,1311.0
768,04 Jul 2022,13.7,0.6,-615.0,13466.0,-2150.0,1688.0
767,05 Jul 2022,-23.0,12.8,922.0,13014.0,1296.0,-258.0
766,06 Jul 2022,22.7,-38.5,1738.0,13042.0,-330.0,1464.0
765,07 Jul 2022,-15.1,4.5,1263.0,12171.0,-925.0,981.0
764,08 Jul 2022,16.6,-28.1,743.0,11576.0,-109.0,35.0
763,11 Jul 2022,5.3,28.7,-525.0,12205.0,-171.0,-297.0
762,12 Jul 2022,-50.9,36.1,-2815.0,14107.0,-1566.0,141.0
761,13 Jul 2022,-58.3,9.1,566.0,12798.0,-2840.0,1799.0
760,14 Jul 2022,62.5,-16.4,-602.0,12782.0,309.0,-556.0
759,15 Jul 2022,11.1,32.4,-457.0,13351.0,-1649.0,1059.0
758,18 Jul 2022,63.8,-46.5,1395.0,12108.0,156.0,844.0
757,19 Jul 2022,11.3,-5.3,310.0,12589.0,976.0,-101.0
756,20 Jul 2022,-39.5,-12.3,2823.0,10839.0,1781.0,-230.0
755,21 Jul 2022,18.9,-29.1,2449.0,11430.0,1799.0,-312.0
754,22 Jul 2022,22.6,-9.0,1182.0,11203.0,-675.0,739.0
753,25 Jul 2022,-39.1,53.3,-987.0,11414.0,-845.0,-72.0
752,26 Jul 2022,-1.9,23.5,-924.0,10530.0,-1548.0,999.0
751,27 Jul 2022,55.6,-30.5,1643.0,13603.0,-437.0,712.0
750,28 Jul 2022,-39.7,-99.7,1797.0,10094.0,1638.0,600.0
749,29 Jul 2022,10.5,14.0,806.0,11264.0,1046.0,-1.0
748,01 Aug 2022,12.4,-17.9,2095.0,13809.0,2321.0,-822.0
747,02 Aug 2022,10.3,60.6,-2727.0,12529.0,825.0,118.0
746,03 Aug 2022,-31.9,-12.3,-575.0,12211.0,765.0,-518.0
745,04 Aug 2022,-24.1,-16.2,-830.0,12307.0,1475.0,-47.0
744,05 Aug 2022,-5.3,-19.6,902.0,13091.0,1606.0,-496.0
743,08 Aug 2022,57.6,5.9,138.0,14186.0,1450.0,-141.0
742,10 Aug 2022,-34.8,45.5,-877.0,13508.0,1062.0,-768.0
741,11 Aug 2022,9.9,-48.4,922.0,14132.0,2298.0,-730.0
740,12 Aug 2022,37.0,5.2,921.0,14686.0,3040.0,-839.0
739,16 Aug 2022,-5.9,4.8,225.0,15231.0,1377.0,-136.0
738,17 Aug 2022,19.3,42.8,7.0,16856.0,2347.0,-510.0
737,18 Aug 2022,-31.2,-3.5,-1652.0,16999.0,-1706.0,471.0
736,19 Aug 2022,-66.9,44.1,-1647.0,17689.0,1111.0,-1633.0
735,22 Aug 2022,4.5,27.3,542.0,15742.0,-454.0,-85.0
734,23 Aug 2022,26.1,42.8,-110.0,15936.0,563.0,-215.0
733,24 Aug 2022,32.0,-5.6,-1329.0,14888.0,23.0,-322.0
732,25 Aug 2022,-17.9,-85.9,-2011.0,9624.0,369.0,-334.0
731,26 Aug 2022,20.1,20.7,1020.0,8577.0,-51.0,454.0
730,29 Aug 2022,-10.4,-17.2,-1122.0,9242.0,-561.0,144.0
729,30 Aug 2022,40.9,53.9,1782.0,9216.0,4166.0,-657.0
728,01 Sep 2022,-53.3,-16.8,-4189.0,12117.0,-2290.0,951.0
727,02 Sep 2022,12.6,20.2,-2065.0,12510.0,-9.0,-669.0
726,05 Sep 2022,42.3,-19.2,1112.0,12229.0,-812.0,534.0
725,06 Sep 2022,-21.7,55.0,-1005.0,12350.0,1145.0,633.0
724,07 Sep 2022,-5.6,25.4,-71.0,12671.0,758.0,-139.0
723,08 Sep 2022,-29.6,-105.9,853.0,13259.0,2913.0,-213.0
722,09 Sep 2022,23.7,68.7,-125.0,12692.0,2132.0,-1168.0
721,12 Sep 2022,30.1,-10.0,929.0,12621.0,2050.0,-891.0
720,13 Sep 2022,32.7,-43.8,2936.0,10999.0,1957.0,-1268.0
719,14 Sep 2022,-43.1,56.6,-2030.0,12149.0,-1398.0,188.0
718,15 Sep 2022,-42.6,-18.9,-944.0,12057.0,-1271.0,-929.0
717,16 Sep 2022,22.2,51.3,838.0,12308.0,-3260.0,-37.0
716,19 Sep 2022,-4.6,-35.5,1173.0,11639.0,312.0,-95.0
715,20 Sep 2022,23.3,-0.7,1844.0,10480.0,1196.0,132.0
714,21 Sep 2022,-22.8,51.5,-1092.0,11186.0,-461.0,539.0
713,22 Sep 2022,-32.9,-12.9,-2438.0,13859.0,-2510.0,263.0
712,23 Sep 2022,18.6,54.6,-3373.0,15288.0,-2900.0,299.0
711,26 Sep 2022,33.7,68.0,941.0,14495.0,-5101.0,3532.0
710,27 Sep 2022,37.0,27.4,-990.0,15458.0,-2824.0,3505.0
709,28 Sep 2022,61.0,47.1,104.0,19361.0,-2772.0,2544.0
708,29 Sep 2022,-155.4,-191.2,-1007.0,14391.0,-3599.0,3162.0
707,30 Sep 2022,31.0,-27.5,756.0,14830.0,-1565.0,3245.0
706,03 Oct 2022,-43.6,69.3,-1170.0,15139.0,591.0,-423.0
705,04 Oct 2022,110.6,-37.0,3091.0,13426.0,1345.0,946.0
704,06 Oct 2022,-74.1,-30.0,-175.0,13899.0,279.0,-44.0
703,07 Oct 2022,1.0,2.5,-47.0,14280.0,-2251.0,545.0
702,10 Oct 2022,30.9,72.1,-1316.0,15251.0,-2139.0,2137.0
701,11 Oct 2022,-28.9,15.7,-1015.0,15015.0,-4613.0,2431.0
700,12 Oct 2022,32.5,-17.7,1064.0,15667.0,-542.0,85.0
699,13 Oct 2022,-16.2,10.5,-558.0,15964.0,-1636.0,753.0
698,14 Oct 2022,25.1,-2.5,2022.0,14986.0,-1011.0,1624.0
697,17 Oct 2022,41.0,-25.1,416.0,14902.0,-372.0,1582.0
696,18 Oct 2022,19.3,-25.6,2421.0,13463.0,-153.0,2085.0
695,19 Oct 2022,-15.0,68.8,-141.0,14021.0,-454.0,908.0
694,20 Oct 2022,15.8,16.2,-1785.0,16309.0,1865.0,-887.0
693,21 Oct 2022,56.8,59.8,494.0,17963.0,439.0,-119.0
692,24 Oct 2022,-6.7,-42.0,1709.0,17269.0,-154.0,80.0
691,25 Oct 2022,-20.2,-25.8,53.0,16594.0,-247.0,873.0
690,27 Oct 2022,-62.1,-166.5,4104.0,11802.0,2818.0,-1580.0
689,28 Oct 2022,7.5,29.0,-624.0,12398.0,1569.0,-613.0
688,31 Oct 2022,15.5,-21.7,1553.0,12047.0,4179.0,-1107.0
687,01 Nov 2022,77.6,50.7,949.0,13589.0,2610.0,-730.0
686,02 Nov 2022,-12.4,37.7,-629.0,12372.0,1436.0,-1378.0
685,03 Nov 2022,-49.0,-65.7,-1008.0,14184.0,678.0,-732.0
684,04 Nov 2022,54.1,39.8,-246.0,14747.0,1436.0,-549.0
683,07 Nov 2022,-3.3,-2.2,-108.0,15505.0,1949.0,-844.0
682,09 Nov 2022,-19.1,62.9,405.0,15620.0,387.0,-1060.0
681,10 Nov 2022,-16.3,-66.7,-1520.0,16201.0,36.0,-967.0
680,11 Nov 2022,44.0,-15.0,2982.0,16602.0,3958.0,616.0
679,14 Nov 2022,-49.7,29.6,-696.0,16314.0,1089.0,47.0
678,15 Nov 2022,47.8,-49.6,110.0,17006.0,-221.0,-549.0
677,16 Nov 2022,42.2,7.0,1845.0,54.9,-386.0,1437.0
676,17 Nov 2022,-86.9,27.3,-408.0,51.0,618.0,449.0
675,18 Nov 2022,27.9,31.7,85.0,52.0,-751.0,890.0
674,21 Nov 2022,-27.4,17.8,-761.0,43.4,-1594.0,1263.0
673,22 Nov 2022,41.1,-77.7,1521.0,59.5,-698.0,636.0
672,23 Nov 2022,56.7,81.6,283.0,62.3,-790.0,414.0
671,24 Nov 2022,-104.3,-196.4,3226.0,88.0,1232.0,-236.0
670,25 Nov 2022,0.4,58.1,-1657.0,72.2,369.0,-296.0
669,28 Nov 2022,24.1,-0.7,1414.0,87.3,936.0,88.0
668,29 Nov 2022,-11.7,-28.4,340.0,90.9,1242.0,-744.0
667,30 Nov 2022,68.4,-26.2,1109.0,102.7,9010.0,-4056.0
666,01 Dec 2022,-72.9,54.4,-526.0,96.9,-1566.0,2665.0
665,02 Dec 2022,-72.8,55.4,-3918.0,55.9,215.0,712.0
664,05 Dec 2022,42.9,-10.3,240.0,57.2,-1139.0,2608.0
663,06 Dec 2022,-18.9,47.8,-1533.0,41.8,-635.0,-559.0
662,07 Dec 2022,-22.7,9.2,-1218.0,29.2,-1242.0,389.0
661,08 Dec 2022,73.2,-74.9,770.0,36.4,-1132.0,772.0
660,09 Dec 2022,-62.0,91.0,-980.0,26.5,-158.0,502.0
659,12 Dec 2022,82.9,-27.5,658.0,32.6,-139.0,696.0
658,13 Dec 2022,24.4,-48.5,557.0,38.0,620.0,37.0
657,14 Dec 2022,-66.4,24.9,-636.0,32.4,372.0,926.0
656,15 Dec 2022,-59.1,17.5,-1935.0,12.6,-711.0,261.0
655,16 Dec 2022,12.9,6.9,514.0,17.1,-1975.0,1543.0
654,19 Dec 2022,67.6,-24.2,1156.0,28.6,-538.0,687.0
653,20 Dec 2022,-34.7,36.5,-2986.0,-1.9,456.0,495.0
652,21 Dec 2022,-22.2,47.7,-585.0,-7.4,-1119.0,1757.0
651,22 Dec 2022,45.0,-42.9,-651.0,-13.7,929.0,2207.0
650,23 Dec 2022,12.5,49.7,-551.0,-20.3,-707.0,3399.0
649,26 Dec 2022,-11.3,-101.4,1032.0,-10.3,-498.0,1286.0
648,27 Dec 2022,-11.6,-25.7,43.0,-8.9,-868.0,622.0
647,28 Dec 2022,1.2,-6.4,385.0,-5.4,-873.0,373.0
646,29 Dec 2022,-76.5,-112.9,-14.0,14.6,-573.0,516.0
645,30 Dec 2022,-49.1,89.3,-1310.0,0.9,-2951.0,2266.0
644,02 Jan 2023,0.2,-11.2,-717.0,-6.7,-213.0,743.0
643,03 Jan 2023,87.9,1.8,-666.0,-14.1,-628.0,351.0
642,04 Jan 2023,-88.2,83.7,-2605.0,-41.6,-2621.0,774.0
641,05 Jan 2023,66.9,-48.2,1479.0,-25.1,-1449.0,-194.0
640,06 Jan 2023,17.2,110.1,-72.0,-25.9,-2902.0,1083.0
639,09 Jan 2023,25.3,-20.9,2179.0,-2.4,-203.0,1724.0
638,10 Jan 2023,-39.2,57.8,-2454.0,-28.8,-2109.0,1807.0
637,11 Jan 2023,11.2,-18.7,-102.0,-30.7,-3208.0,2431.0
636,12 Jan 2023,4.0,-61.1,-556.0,-36.5,-1663.0,2128.0
635,13 Jan 2023,26.8,-22.6,1508.0,-20.1,-2422.0,1953.0
634,13 Jan 2023,26.8,-22.6,1508.0,-20.1,-2422.0,1953.0
633,16 Jan 2023,-102.6,67.5,-1165.0,-32.7,-751.0,686.0
632,17 Jan 2023,63.3,-36.0,1488.0,-16.5,211.0,91.0
631,18 Jan 2023,46.9,-110.2,1927.0,3.4,-319.0,1226.0
630,19 Jan 2023,-89.7,80.7,-383.0,-1.1,400.0,-129.0
629,20 Jan 2023,62.5,71.2,1027.0,8.6,-2002.0,1510.0
628,23 Jan 2023,65.4,3.1,859.0,17.8,-220.0,435.0
627,24 Jan 2023,26.4,67.8,475.0,23.5,-761.0,1145.0
626,25 Jan 2023,-86.7,-58.8,-3616.0,-24.1,-2394.0,1378.0
625,27 Jan 2023,-0.7,56.8,-3073.0,-58.6,-5978.0,4252.0
624,30 Jan 2023,52.0,22.3,-1607.0,-75.6,-6793.0,5513.0
623,31 Jan 2023,24.3,-23.3,-1616.0,-93.6,-5440.0,4506.0
622,01 Feb 2023,-96.8,-48.1,797.0,-85.8,1785.0,529.0
621,02 Feb 2023,17.9,28.3,-2464.0,-112.7,-3065.0,2371.0
620,03 Feb 2023,-21.7,-139.9,2344.0,-87.8,-932.0,1265.0
619,06 Feb 2023,-56.7,71.1,-2192.0,-111.4,-1218.0,1203.0
618,07 Feb 2023,111.1,20.0,89.0,-110.7,-2560.0,640.0
617,08 Feb 2023,-44.7,-33.4,1266.0,-96.7,-737.0,941.0
616,09 Feb 2023,22.3,9.7,104.0,-95.1,-145.0,-205.0
615,10 Feb 2023,1.0,1.0,1.0,1.0,1459.0,-291.0
614,13 Feb 2023,44.4,69.0,89.0,-104.5,1322.0,522.0
613,14 Feb 2023,27.0,-143.1,3774.0,-63.7,1305.0,205.0
612,15 Feb 2023,-3.1,18.1,-262.0,-66.3,432.0,517.0
611,16 Feb 2023,-3.1,18.1,-262.0,-66.3,1570.0,1577.0
610,17 Feb 2023,-73.0,68.3,-1079.0,80.7,-624.61,-85.29
609,20 Feb 2023,27.9,24.0,-689.0,-88.6,-159.0,86.0
608,21 Feb 2023,8.4,-40.0,966.0,-78.3,526.0,-235.0
607,22 Feb 2023,7.4,79.3,-2732.0,-108.5,-580.0,372.0
606,23 Feb 2023,-47.3,-100.2,-1246.0,-104.9,-1417.0,1586.0
605,24 Feb 2023,-15.8,-17.8,-260.0,-107.8,-1470.0,1401.0
604,27 Feb 2023,83.4,12.1,-683.0,-116.2,-2023.0,2232.0
603,28 Feb 2023,2.4,17.0,-1358.0,-131.8,-4559.0,4610.0
602,01 Mar 2023,28.7,-6.4,638.0,-125.6,-425.0,1499.0
601,02 Mar 2023,-68.5,-0.2,-532.0,-131.2,12771.0,2129.0
600,03 Mar 2023,67.8,-121.5,3938.0,-89.0,246.0,2090.0
599,06 Mar 2023,-27.1,30.4,1447.0,-72.5,721.0,757.0
598,08 Mar 2023,37.3,18.8,-577.0,-78.7,3672.0,-938.0
597,09 Mar 2023,-117.7,34.9,-2253.0,-103.1,-562.0,42.0
596,10 Mar 2023,-8.4,35.4,-1603.0,-120.9,-2061.0,1350.0
595,13 Mar 2023,60.2,29.2,-620.0,-128.4,-1547.0,1419.0
594,14 Mar 2023,42.6,79.0,-1480.0,-144.6,-3087.0,2122.0
593,15 Mar 2023,-59.4,-67.2,82.0,-143.8,-1271.0,1824.0
592,16 Mar 2023,59.7,85.9,-1815.0,-163.5,-282.0,2051.0
591,17 Mar 2023,41.9,-93.3,-692.0,-171.7,-1767.0,1817.0
590,20 Mar 2023,-98.1,14.7,-1996.0,-194.6,-2546.0,2877.0
589,21 Mar 2023,74.5,-64.3,-129.0,-195.5,-1455.0,1946.0
588,22 Mar 2023,-91.2,-46.6,-101.0,-196.4,62.0,384.0
587,23 Mar 2023,42.6,73.1,1015.0,-185.2,-995.0,1669.0
586,24 Mar 2023,-7.6,38.3,214.0,-183.2,-1720.0,2556.0
585,27 Mar 2023,132.4,30.0,3249.0,-146.3,-891.0,1809.0
584,28 Mar 2023,-12.6,-38.8,-931.0,-156.4,1531.0,-156.0
583,29 Mar 2023,-104.6,-100.8,2027.0,-138.7,1245.0,823.0
582,31 Mar 2023,-70.2,-99.6,267.0,-135.1,358.0,2480.0
581,03 Apr 2023,21.7,52.8,-512.0,-140.6,322.0,-328.0
580,05 Apr 2023,102.9,7.5,2789.0,-109.3,807.0,-947.0
579,06 Apr 2023,-96.8,34.8,291.0,-106.3,476.0,-997.0
578,10 Apr 2023,32.3,-11.1,1849.0,-85.1,883.0,352.0
577,11 Apr 2023,42.7,-89.6,2193.0,-60.7,343.0,-264.0
576,12 Apr 2023,-20.4,10.2,1674.0,-42.0,1908.0,-225.0
575,13 Apr 2023,51.7,88.5,1250.0,-28.7,222.0,-274.0
574,17 Apr 2023,17.1,11.7,-747.0,-36.1,-533.0,270.0
573,18 Apr 2023,-39.5,-2.6,72.0,0.4,-811.0,402.0
572,19 Apr 2023,9.8,-23.8,-292.0,-38.7,-13.0,-110.0
571,20 Apr 2023,91.8,45.3,476.0,-33.8,-1169.0,833.0
570,21 Apr 2023,-56.6,14.0,105.0,-31.5,-2117.0,1633.0
569,24 Apr 2023,-13.8,-91.9,1113.0,-19.3,-412.0,1177.0
568,25 Apr 2023,-33.0,21.6,527.0,-13.4,-407.0,564.0
567,26 Apr 2023,48.9,-2.4,54.0,-12.8,1257.0,-228.0
566,27 Apr 2023,-34.2,-67.7,-305.0,-20.0,1653.0,97.0
565,28 Apr 2023,0.6,-6.8,184.0,-18.3,3304.0,264.0
564,02 May 2023,-34.2,33.6,1983.0,3.5,1997.0,-394.0
563,03 May 2023,48.5,39.1,-1452.0,-12.5,1338.0,-584.0
562,04 May 2023,-48.1,-54.2,415.0,-8.1,1415.0,442.0
561,05 May 2023,49.3,142.7,-804.0,-15.8,778.0,-2199.0
560,08 May 2023,-51.7,-156.5,1307.0,-2.5,2124.0,245.0
559,09 May 2023,-29.7,20.7,-516.0,-7.7,1942.0,405.0
558,10 May 2023,55.5,-6.9,321.0,-4.2,1833.0,-790.0
557,11 May 2023,35.7,31.2,-669.0,-11.0,837.0,-200.0
556,12 May 2023,21.1,-34.0,-245.0,-14.4,1014.0,-922.0
555,15 May 2023,25.2,4.2,1290.0,-0.4,1685.0,191.0
554,16 May 2023,-90.6,-10.3,-347.0,-4.3,1407.0,-886.0
553,17 May 2023,-65.4,43.4,-530.0,-10.5,149.0,-204.0
552,18 May 2023,-65.4,43.4,-530.0,-10.5,970.0,-849.0
551,19 May 2023,-28.3,-26.6,-565.0,-9.9,-113.0,1071.0
550,22 May 2023,-7.0,-23.1,39.0,-8.3,923.0,605.0
549,23 May 2023,6.8,-1.3,820.0,0.2,183.0,397.0
548,24 May 2023,-34.9,31.5,-458.0,-4.2,1186.0,301.0
547,25 May 2023,-24.2,-111.8,-988.0,18.8,589.0,338.0
546,26 May 2023,92.2,21.8,1185.0,31.9,350.0,1841.0
545,29 May 2023,-87.2,-38.3,-162.0,29.6,1758.0,854.0
544,30 May 2023,38.5,-29.0,241.0,32.4,2086.0,-439.0
543,31 May 2023,3.9,153.7,-2027.0,10.6,3406.0,-2529.0
542,01 Jun 2023,-56.0,-16.9,-2183.0,-12.1,-71.0,489.0
541,02 Jun 2023,105.6,37.5,476.0,-7.1,-659.0,582.0
540,05 Jun 2023,20.1,-25.6,746.0,0.4,-701.0,1196.0
