Date,NIFTY Close,NIFTY Change %,FII Fut Net OI,FII Fut Change,FII Opt Net OI,FII Opt Change,Pro Fut Net OI,Pro Fut Change,Pro Opt Net OI,Pro Opt Change,Client Fut Net OI,Client Fut Change,Client Opt Net OI,Client Opt Change
21-Oct-2025,"25,868.60",+0.10%,"-1.37L",+299,"-2.06L","+8,996","-6,064","+2,036","-1.02L","+21,759","76,468","+3,294","3.77L","-45,257"
23-Oct-2025,"25,891.40",+0.09%,"-1.14L","+23,518","-1.82L","+23,097","5,450","-6,858","-1.91L","-1.11L","76,535","-10,293","4.12L","+88,213"
24-Oct-2025,"25,795.15",-0.37%,"-1.07L","+6,964","-2.09L","-26,397","-10,944","-16,394","-59,611","+1.31L","80,441","+3,906","3.05L","-1.07L"
27-Oct-2025,"25,966.05",+0.66%,"-1.08L","-1,085","-1.82L","+26,634","-4,506","+6,438","44,135","+1.04L","75,542","-4,899","1.82L","-1.24L"
28-Oct-2025,"25,936.20",-0.11%,"-92,166","+15,466","-1.92L","-10,233","-10,431","-5,925","-95,257","-1.39L","75,645",+103,"3.23L","+1.41L"
29-Oct-2025,"26,053.90",+0.45%,"-98,314","-6,148","-1.43L","+49,917","-7,450","+2,981","43,428","+1.39L","70,501","-5,144","1.4L","-1.83L"
30-Oct-2025,"25,877.85",-0.68%,"-1.1L","-12,134","-2.45L","-1.02L","-7,761",-311,"-1.72L","-2.16L","81,344","+10,843","4.58L","+3.18L"
31-Oct-2025,"25,722.10",-0.60%,"-1.19L","-8,225","-2.29L","+15,654","-4,458","+3,303","-2.3L","-58,093","84,195","+2,851","4.98L","+40,737"
03-Nov-2025,"25,763.35",+0.16%,"-1.25L","-6,154","-2.09L","+19,960","-8,044","-3,586","-1.5L","+79,935","93,332","+9,137","3.98L","-99,891"
04-Nov-2025,"25,597.65",-0.64%,"-1.35L","-10,391","-2.32L","-22,713","-5,565","+2,479","-2.26L","-75,555","1.03L","+9,413","4.95L","+96,567"
06-Nov-2025,"25,509.70",-0.34%,"-1.38L","-2,636","-2.64L","-32,403","-1,745","+3,820","-2.09L","+16,863","1L","-2,365","5.11L","+15,539"
07-Nov-2025,"25,492.30",-0.07%,"-1.52L","-14,237","-2.64L",+325,"4,055","+5,800","-1.03L","+1.06L","1.09L","+8,715","3.87L","-1.24L"
10-Nov-2025,"25,574.35",+0.32%,"-1.57L","-4,616","-2.63L","+1,437","9,688","+5,633","-1.25L","-21,739","1.08L",-888,"4.08L","+21,353"
11-Nov-2025,"25,694.95",+0.47%,"-1.6L","-3,123","-2.22L","+40,209","7,705","-1,983","-1.08L","+17,581","1.13L","+5,077","3.46L","-62,791"
12-Nov-2025,"25,875.80",+0.70%,"-1.62L","-2,410","-1.63L","+59,532","8,507",+802,"-16,266","+91,294","1.04L","-9,473","1.95L","-1.5L"
13-Nov-2025,"25,879.15",+0.01%,"-1.6L","+2,293","-2.05L","-41,839","13,108","+4,601","-69,926","-53,660","96,919","-6,892","3.11L","+1.16L"
14-Nov-2025,"25,910.05",+0.12%,"-1.7L","-9,672","-2.46L","-41,768","9,565","-3,543","-1.14L","-43,824","1.06L","+9,130","3.82L","+70,891"
17-Nov-2025,"26,013.45",+0.40%,"-1.69L",+334,"-2L","+46,961","9,677",+112,"-23,627","+90,123","1.06L",-121,"2.45L","-1.37L"
18-Nov-2025,"25,910.05",-0.40%,"-1.69L",+496,"-2.45L","-45,086","8,646","-1,031","-1.18L","-94,222","1.06L",+443,"3.81L","+1.35L"
19-Nov-2025,"26,052.65",+0.55%,"-1.68L","+1,218","-1.34L","+1.1L","13,684","+5,038","17,040","+1.35L","1L","-6,036","1.35L","-2.45L"
20-Nov-2025,"26,192.15",+0.54%,"-1.66L","+2,006","-1.31L","+3,440","19,498","+5,814","31,275","+14,235","80,379","-19,956","1.18L","-17,513"
21-Nov-2025,"26,068.15",-0.47%,"-1.7L","-4,282","-2.39L","-1.08L","33,706","+14,208","-2.82L","-3.13L","76,244","-4,135","5.39L","+4.21L"